nama,harga,category,gambar,link_product,product_type,color_and_material,size
ALEX,2999000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/984/0798449_PH165504_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/776/0977666_PE813729_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/alex-art-60483439,meja, putih, 132x58 cm
MALM,2499000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/623/0662306_PE711832_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/359/0735975_PE740309_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/malm-art-50361754,meja, putih, 140x65 cm
LAGKAPTEN/MITTBACK,1599000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/760/0976099_PE813002_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/283/1028385_PE835321_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/lagkapten-mittback-spr-99417194,meja, putih/kayu birch, 140x60 cm
LAGKAPTEN/ADILS,879000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/760/0976080_PE812978_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/778/0977800_PE813782_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/lagkapten-adils-spr-39417154,meja, putih, 140x60 cm
ALEX,2499000,"{' Ruang kerja rumah', ' Ruang kerja ', 'Showroom ', ' Penyimpanan ruang kerja rumah '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/956/0995637_PH176890_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/777/0977781_PE813766_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/penyimpanan-ruang-kerja-rumah/alex-art-70486140,unit 9 laci, putih, 36x116 cm
ADILS/LINNMON,579000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/891/0989117_PE818385_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/771/0977196_PE813438_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/adils-linnmon-spr-59416337,meja, efek kayu oak diwarnai putih/putih, 100x60 cm
MICKE,1999000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/218/0921887_PE787990_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/218/0921886_PE787989_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/micke-art-90489840,meja, putih/antrasit, 105x50 cm
ADILS/LINNMON,479000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/346/0734654_PE739562_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/771/0977195_PE813437_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/adils-linnmon-spr-89416185,meja, putih/abu-abu tua, 100x60 cm
TONSTAD,2999000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/298/1329853_PE945283_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/580/1358071_PE953807_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/tonstad-art-40538249,meja, putih pudar, 120x47 cm
TONSTAD,3799000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/298/1329852_PE945282_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/197/1319711_PE940970_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/tonstad-art-70538257,meja, putih pudar, 140x75 cm
ALEX/LAGKAPTEN,2089000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/778/0977801_PE813783_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/220/1022005_PE832395_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/alex-lagkapten-spr-79432015,meja, efek kayu oak diwarnai putih/putih, 140x60 cm
MITTPLAN,999000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/539/1353925_PE952392_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/851/1285100_PE933189_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/mittplan-art-50549431,meja, putih, 80x60 cm
LOMMARP,3499000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/414/0741483_PE742385_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/709/0770955_PE755649_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/lommarp-art-60442825,meja, krem muda, 90x54 cm
ALEX,1500000,"{' Ruang kerja rumah', ' Ruang kerja ', 'Showroom ', ' Penyimpanan ruang kerja rumah '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/931/0993108_PE820411_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/436/1043678_PH177986_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/penyimpanan-ruang-kerja-rumah/alex-spr-99422218,unit laci beroda, putih/hitam, 36x76 cm
LAGKAPTEN/ADILS,679000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/777/0977793_PE813777_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/772/0977232_PE813475_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/lagkapten-adils-spr-49416875,meja,,
BJÖRKÅSEN,499000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/823/0982353_PH176079_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/559/0955982_PE804391_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/bjorkasen-art-10476479,stand laptop, krem,
LAGKAPTEN/ADILS,879000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/760/0976096_PE812994_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/778/0977801_PE813783_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/lagkapten-adils-spr-59417209,meja, efek kayu oak diwarnai putih/putih, 140x60 cm
BRUSALI,1299000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/353/0835318_PE778404_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/832/0783238_PE761521_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/brusali-art-20439764,meja, putih, 90x52 cm
LINNMON,199000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/974/1097492_PE864988_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/346/0734654_PE739562_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/linnmon-art-00361756,daun meja, putih, 100x60 cm
MICKE,2999000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/343/0734327_PE739443_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/036/0403685_PE565689_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/micke-art-30354274,meja kerja sudut, hitam-cokelat, 100x142 cm
ALEX,2999000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/776/0977665_PE813728_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/955/0995565_PE821755_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/alex-art-60483806,meja, abu-abu toska, 132x58 cm
ADILS/LINNMON,579000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/771/0977191_PE813433_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/778/0977886_PE813908_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/adils-linnmon-spr-99416095,meja, abu-abu tua/hitam, 100x60 cm
TERTIAL,159000,"{' Pencahayaan dan peralatan eletronik rumah tangga ', ' Lampu meja dan lampu jepit ', ' Lampu', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/862/1286246_PE933515_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/093/0609308_PE684439_S3.webp'}",https://www.ikea.co.id/in/produk/lampu/lampu-meja-dan-lampu-jepit/tertial-art-70355455,lampu kerja, putih,
LAGKAPTEN,899000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/778/0977882_PE813906_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/667/1166728_PH183094_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/lagkapten-art-20460835,daun meja, putih, 200x60 cm
LAGKAPTEN/ADILS,679000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/772/0977227_PE813470_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/777/0977793_PE813777_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/lagkapten-adils-spr-39416885,meja, efek kayu oak diwarnai putih/hitam, 120x60 cm
ÖRFJÄLL,999000,"{' Ruang kerja rumah', ' Ruang kerja ', ' Kursi kerja rumah ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/780/0978008_PE813981_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/780/0978009_PE813982_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/kursi-kerja-rumah/orfjall-spr-29416013,kursi putar, putih/Vissle abu-abu muda,
LAGKAPTEN/ADILS,879000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/760/0976086_PE812984_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/778/0977800_PE813782_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/lagkapten-adils-spr-09417160,meja, putih/abu-abu tua, 140x60 cm
LAGKAPTEN,599000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/666/1166683_PH182444_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/778/0977800_PE813782_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/lagkapten-art-20460821,daun meja, putih, 140x60 cm
HELMER,599000,"{' Ruang kerja rumah', ' Ruang kerja ', 'Showroom ', ' Penyimpanan ruang kerja rumah '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/774/1277402_PE931097_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/774/1277401_PE931098_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/penyimpanan-ruang-kerja-rumah/helmer-art-90581928,unit laci beroda, kuning, 28x69 cm
LISABO,2499000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/932/0793297_PH164901_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/359/0735972_PE740306_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/lisabo-art-10361746,meja, veneer kayu ash, 118x45 cm
ÖRFJÄLL,999000,"{' Ruang kerja rumah', ' Ruang kerja ', ' Kursi kerja rumah ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/367/1236703_PH193773_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/531/1153112_PE885596_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/kursi-kerja-rumah/orfjall-spr-49501109,kursi putar, putih/Vissle biru tua,
FORSÅ,399000,"{' Pencahayaan dan peralatan eletronik rumah tangga ', ' Lampu meja dan lampu jepit ', ' Lampu', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/438/0043883_PE278160_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/283/1028325_PH177481_S3.webp'}",https://www.ikea.co.id/in/produk/lampu/lampu-meja-dan-lampu-jepit/forsa-art-80146763,lampu kerja, dilapisi nikel,
HEMNES,6299000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/626/1162629_PE889905_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/767/1176724_PE895116_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/hemnes-art-90535045,meja, warna putih/cokelat muda, 155x65 cm
